,domain,id,id_str,party,screen_name,state
7218,1.0,2287739437,2287739437,BSP,BSP4India,Uttar Pradesh
7219,1.0,770866719766130689,770866719766130688,BSP,Rakeshbspup,Uttar Pradesh
7220,1.0,1657611620,1657611620,To Be Added,satishcmisra,Uttar Pradesh
7221,1.0,766657372756606977,766657372756606976,BSP,EkAkel,Uttar Pradesh
7222,1.0,1005093946618335233,1005093946618335232,BSP,RSKUSHWAHABSP,Uttar Pradesh
7223,1.0,847361923611885571,847361923611885568,To Be Added,ErPradeepKumar7,Uttar Pradesh
7224,1.0,966948060419932161,966948060419932160,TDP,TDPGannavaram,Andhra Pradesh
7225,1.0,980340898612391936,980340898612391936,INC,ErRaviPandey07,Chhattisgarh
7226,1.0,987558324630515712,987558324630515712,BSP,MP_SiddharthBSP,Uttar Pradesh
7227,1.0,4723244292,4723244292,To Be Added,Vineetamro,Uttar Pradesh
7228,1.0,4707019333,4707019333,BSP,mla_rajesh,Uttar Pradesh
7229,1.0,950664697572835328,950664697572835328,To Be Added,advpareshmishra,Uttar Pradesh
7230,1.0,1006463692454682624,1006463692454682624,To Be Added,KalpiBanti,Uttar Pradesh
7231,1.0,937942662706896896,937942662706896896,To Be Added,bsp_sandeep,Uttar Pradesh
7232,1.0,1094186861835108352,1094186861835108352,BSP,AliMunqad,Uttar Pradesh
7233,1.0,3254767080,3254767080,BSP,Ambedkar153,Uttar Pradesh
7234,1.0,1079794818144845825,1079794818144845824,BSP,aftab_bsp,Uttar Pradesh
7235,1.0,785455528109543424,785455528109543424,To Be Added,sameepthakur,To Be Added
7236,1.0,384197479,384197479,INC,samir_pandey,Chhattisgarh
7237,1.0,1093042230489567232,1093042230489567232,BSP,BspUmesh,Uttar Pradesh
7238,1.0,895722252,895722252,BSP,mukesh_dixit,Uttar Pradesh
7239,1.0,1093388510248103936,1093388510248103936,BSP,pawanjhansibsp,Uttar Pradesh
7240,1.0,983241963397758976,983241963397758976,To Be Added,BspMukesh,Uttar Pradesh
7241,1.0,850227546629185541,850227546629185536,To Be Added,gsmishra1234,Uttar Pradesh
7242,1.0,1097118781531406336,1097118781531406336,BSP,JeetendraSankh2,Uttar Pradesh
7243,1.0,1093034091690127360,1093034091690127360,BSP,Mukesh48193525,Uttar Pradesh
7244,1.0,1093383717748424704,1093383717748424704,BSP,jeevan14118082,Uttar Pradesh
7245,1.0,1093557367948615680,1093557367948615680,To Be Added,PushpendraSidd5,To Be Added
7246,1.0,1093705217319698434,1093705217319698432,To Be Added,Narendr46021265,To Be Added
7247,1.0,2644914530,2644914530,INC,vt_office,Chhattisgarh
7248,1.0,1093463766631677952,1093463766631677952,To Be Added,PannuRafiuddin,To Be Added
7249,1.0,1093086305750138882,1093086305750138880,BSP,BspTabrez,Uttar Pradesh
7250,1.0,1093132922041786368,1093132922041786368,To Be Added,manmohan_jatav,Uttar Pradesh
