,id,id_str,screen_name,confirmed_politician,state
5536,985251214228062210,985251214228062208,Trooien4Senate,1,Minnesota
5537,136142568,136142568,SD60DFL,1,Minnesota
5538,66558329,66558329,UMDuluthCRs,1,Minnesota
5539,97738013,97738013,CSBSJUCRs,1,Minnesota
5540,81686375,81686375,MNCD7GOP,1,Minnesota
5541,823974014318182404,823974014318182400,SenUtke,1,Minnesota
5542,151634002,151634002,MNForward,1,Minnesota
5543,1934814248,1934814248,dahlberg4senate,1,Minnesota
5544,935232972428660737,935232972428660736,MadalynnforMN,1,Minnesota
5545,4724827423,4724827423,MNSenateVictory,1,Minnesota
5546,76852281,76852281,reNEWMinnesota,1,Minnesota
5547,2731928977,2731928977,JPetersburgMN,1,Minnesota
5548,704861416910512128,704861416910512128,BarbHaleyMN,1,Minnesota
5549,3297474206,3297474206,TwinCitiesYRs,1,Minnesota
5550,485415005,485415005,IanOundo,1,Minnesota
5551,149227140,149227140,VoteChip,1,Minnesota
5552,1013794270136987650,1013794270136987648,Her4House,1,Minnesota
5553,95328232,95328232,markfotsch,1,Minnesota
5554,2719514221,2719514221,ronerhardt,1,Minnesota
5555,1067829978740477952,1067829978740477952,StLouisCountyMN,1,Minnesota
5556,23337655,23337655,Steve_Gottwalt,1,Minnesota
5557,44536447,44536447,votejohnchoi,1,Minnesota
5558,832317724072230912,832317724072230912,NorrieAThomas,1,Minnesota
5559,35728482,35728482,morrisongop,1,Minnesota
5560,1327513346,1327513346,itascacountydfl,1,Minnesota
5561,823271641,823271641,DavidHoden,1,Minnesota
5562,97224939,97224939,CarindaHorton,1,Minnesota
5563,108414635,108414635,LeeByberg,1,Minnesota
5564,878273206259511296,878273206259511296,jonathan_isenor,1,Minnesota
5565,150368838,150368838,SandraEPeterson,1,Minnesota
5566,1089984666,1089984666,AndyPatrickSC01,1,South Carolina
5567,158016041,158016041,mvpac,1,Minnesota
5568,977324578933493763,977324578933493760,emyforhouse15A,1,Minnesota
5569,267336455,267336455,ChisagoDFL,1,Minnesota
5570,990415708432601088,990415708432601088,MarthalerFor24B,1,Minnesota
5571,534597342,534597342,AnnMarie53B,1,Minnesota
5572,952955955305766917,952955955305766912,brenda4moorhead,1,Minnesota
5573,967811168181084161,967811168181084160,BrentforOffice,1,Minnesota
5574,2322569210,2322569210,JoyforBP,1,Minnesota
5575,725055508143575041,725055508143575040,LyleKoenenMN,1,Minnesota
5576,1426121976,1426121976,sd26dfl,1,Minnesota
5577,976843762449223681,976843762449223680,kennethbush25b,1,Minnesota
5578,65030567,65030567,McLeodGOP,1,Minnesota
5579,67046453,67046453,houstonctygop,1,Minnesota
5580,1906299794,1906299794,SD54_DFL,1,Minnesota
5581,66478257,66478257,64BGOP,1,Minnesota
5582,1081418917,1081418917,jdorsher,1,Minnesota
5583,581229371,581229371,LarsonforMN18A,1,Minnesota
5584,1332072086,1332072086,DFL_GoodhueCnty,1,Minnesota
5585,2565768110,2565768110,LofgrenMN20A,1,Minnesota
5586,552805783,552805783,JimArlt4Rep,1,Minnesota
5587,619612532,619612532,KruseforHouse,1,Minnesota
5588,574645157,574645157,StarrforSenate,1,Minnesota
5589,16160352,16160352,clairecmc,1,Mississippi
5590,231592153,231592153,PhilBryantMS,1,Mississippi
5591,555474658,555474658,SenThadCochran,1,Mississippi
5592,20252855,20252855,HaleyBarbour,1,Mississippi
5593,23712174,23712174,GreggHarper,1,Mississippi
5594,599377549,599377549,jerameyanderson,1,Mississippi
5595,259341329,259341329,tatereeves,1,Mississippi
5596,11650762,11650762,RogerWicker,1,Mississippi
5597,22229397,22229397,senatormcdaniel,1,Mississippi
5598,62379598,62379598,MSGOP,1,Mississippi
5599,199845070,199845070,ChokweALumumba,1,Mississippi
5600,30944131,30944131,DelbertHosemann,1,Mississippi
5601,2402241228,2402241228,TomCarterforMS,1,Mississippi
5602,766622917673254913,766622917673254912,RobertFoster4MS,1,Mississippi
5603,486894694,486894694,PhilipGunnMS,1,Mississippi
5604,263779836,263779836,SenBillCadman,1,Colorado
5605,89369100,89369100,Hattiesburg_MS,1,Mississippi
5606,32125811,32125811,dbaria,1,Mississippi
5607,76691987,76691987,allontheline_ms,1,Mississippi
5608,924776768,924776768,msdemocrats,1,Mississippi
5609,1274495424339087360,1274495424339087360,lynnfitch,1,Mississippi
5610,1247242453,1247242453,RethinkMS,1,Mississippi
5611,2987516072,2987516072,Jay4Mississippi,1,Mississippi
5612,181195680,181195680,SenDavidBlount,1,Mississippi
5613,175953481,175953481,BrandonPresley,1,Mississippi
5614,21959491,21959491,bricewigginsMS,1,Mississippi
5615,253354870,253354870,SallyDoty,1,Mississippi
5616,370280198,370280198,MichaelWatsonMS,1,Mississippi
5617,248375018,248375018,SenatorHarkins,1,Mississippi
5618,896512412,896512412,DeltaRegional,1,Mississippi
5619,925718116365164544,925718116365164544,JerameyForMS,1,Mississippi
5620,325311998,325311998,TonySmithMS47,1,Mississippi
5621,557833270,557833270,reptommiles,1,Mississippi
5622,1935245342,1935245342,CMForUSSenate,1,Mississippi
5623,109110373,109110373,JodySteverson,1,Mississippi
5624,488814959,488814959,JoeyHoodMS,1,Mississippi
5625,432763933,432763933,SenatorJohnPolk,1,Mississippi
5626,308764455,308764455,repsonyawb,1,Mississippi
5627,449229681,449229681,PresleyPSC,1,Mississippi
