,id,id_str,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
3927,80201116,80201116,forsythgop,1,Georgia,Forsyth County GOP,,,,,,,,,2021-04-20
3928,594195884,594195884,ablemable56,1,Georgia,Able Mable Thomas,,,,,,,,,2021-04-20
3929,113708518,113708518,regina4congress,1,Georgia,Regina Thomas,,,,,,,,,2021-04-20
3930,350599621,350599621,gafayettedems,1,Georgia,Fayette County Democrats,,,,,,,,,2021-04-20
3931,929650898,929650898,calvinsmyre,1,Georgia,Calvin Smyre,,,,,,,,,2021-04-20
3932,1054736639392661505,1054736639392661505,gasenategop,1,Georgia,GA Senate Republicans,,,,,,,,,2021-04-20
3933,1151565781,1151565781,gastonewall,1,Georgia,GAStonewall,,,,,,,,,2021-04-20
3934,2165263892,2165263892,bertreeves34,1,Georgia,Bert Reeves,,,,,,,,,2021-04-20
3935,851072006716088320,851072006716088320,sachinforga,1,Georgia,Sachin Varghese,,,,,,,,,2021-04-20
3936,1892099323,1892099323,gwinnettyr,1,Georgia,Gwinnett YRs,,,,,,,,,2021-04-20
3937,124794340,124794340,ccgagop,1,Georgia,Columbia County GOP,,,,,,,,,2021-04-20
3938,844237802,844237802,rephenson86,1,Georgia,Michele Henson,,,,,,,,,2021-04-20
3939,2384744946,2384744946,valforeducation,1,Georgia,Valarie Wilson,,,,,,,,,2021-04-20
3940,51352532,51352532,newtoncogagop,1,Georgia,Newton County GA GOP,,,,,,,,,2021-04-20
3941,83680415,83680415,oconeegop,1,Georgia,OconeeGOP,,,,,,,,,2021-04-20
3942,1232333084,1232333084,drjoeprofit,1,Georgia,Dr. Joe Profit,,,,,,,,,2021-04-20
3943,180523348,180523348,seanjerguson,1,Georgia,Sean Jerguson,,,,,,,,,2021-04-20
3944,553298937,553298937,votesamwatson,1,Georgia,Sam Watson,,,,,,,,,2021-04-20
3945,979104786413912066,979104786413912066,flynndbroadyjr,1,Georgia,Flynn Broady,,,,,,,,,2021-04-20
3946,13992212,13992212,keishawaites,1,Georgia,Rep. Keisha Waites,,,,,,,,,2021-04-20
3947,383057462,383057462,whitfieldcounty,1,Georgia,Whitfield Democrats,,,,,,,,,2021-04-20
3948,18805883,18805883,replunsford,1,Georgia,Rep. John Lunsford,,,,,,,,,2021-04-20
3949,939752945264013312,939752945264013312,triana4georgia,1,Georgia,Triana Arnold James,,,,,,,,,2021-04-20
3950,702030062,702030062,nikkirandall142,1,Georgia,Nikki T. Randall,,,,,,,,,2021-04-20
3951,103026886,103026886,ga10th,1,Georgia,GA 10th Amendment,,,,,,,,,2021-04-20
